"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Controllers/PaymentController.cs", "C#", 67, 0, 0, 0, 2, 11, 80
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Controllers/ReservationController.cs", "C#", 114, 0, 0, 0, 0, 24, 138
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Controllers/RoomController.cs", "C#", 8, 0, 0, 0, 0, -7, 1
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Controllers/RoomTypeController.cs", "C#", 8, 0, 0, 0, 0, -1, 7
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Data/ApplicationDbContext.cs", "C#", 2, 0, 0, 0, 0, 0, 2
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Migrations/20240526080831_ModifyRoomTypeId.Designer.cs", "C#", -84, 0, 0, 0, -2, -26, -112
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Migrations/20240526080831_ModifyRoomTypeId.cs", "C#", -63, 0, 0, 0, -3, -14, -80
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Migrations/ApplicationDbContextModelSnapshot.cs", "C#", 24, 0, 0, 0, 0, 11, 35
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Models/PaymentModel.cs", "C#", 20, 0, 0, 0, 0, 8, 28
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Models/ReservationModel.cs", "C#", 26, 0, 0, 0, 0, 10, 36
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Models/RoomModel.cs", "C#", 0, 0, 0, 0, 0, -10, -10
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Models/RoomTypeModel.cs", "C#", 1, 0, 0, 0, 0, 0, 1
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Program.cs", "C#", 8, 0, 0, 0, -1, 3, 10
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Utilities/UploadUtilities.cs", "C#", 18, 0, 0, 0, 0, 4, 22
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Utilities/UploadUtils.cs", "C#", -18, 0, 0, 0, 0, -5, -23
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/bin/Debug/net8.0/appsettings.Development.json", "JSON", 0, -8, 0, 0, 0, -1, -9
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/bin/Debug/net8.0/appsettings.json", "JSON", 0, -9, 0, 0, 0, -1, -10
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/bin/Debug/net8.0/hotel-backend.deps.json", "JSON", 0, -899, 0, 0, 0, 0, -899
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/bin/Debug/net8.0/hotel-backend.runtimeconfig.json", "JSON", 0, -20, 0, 0, 0, 0, -20
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/hotel-backend.csproj", "XML", 0, 0, -22, 0, 0, -4, -26
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", -3, 0, 0, 0, -1, -1, -5
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.AssemblyInfo.cs", "C#", -9, 0, 0, 0, -9, -5, -23
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, -19, 0, -1, -20
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.GlobalUsings.g.cs", "C#", -16, 0, 0, 0, -1, -1, -18
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.MvcApplicationPartsAssemblyInfo.cs", "C#", -4, 0, 0, 0, -9, -5, -18
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.sourcelink.json", "JSON", 0, -1, 0, 0, 0, 0, -1
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/staticwebassets.build.json", "JSON", 0, -11, 0, 0, 0, 0, -11
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/staticwebassets/msbuild.build.hotel-backend.props", "XML", 0, 0, -3, 0, 0, 0, -3
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/staticwebassets/msbuild.buildMultiTargeting.hotel-backend.props", "XML", 0, 0, -3, 0, 0, 0, -3
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/staticwebassets/msbuild.buildTransitive.hotel-backend.props", "XML", 0, 0, -3, 0, 0, 0, -3
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/hotel-backend.csproj.nuget.dgspec.json", "JSON", 0, 4, 0, 0, 0, 0, 4
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/project.assets.json", "JSON", 0, 226, 0, 0, 0, 0, 226
"Total", "-", 99, -718, -31, -19, -24, -11, -704